Name,Vendor,Category,Price
1L Container,Unknown,Container,0.25
16oz Container,Unknown,Container,0.09
Tamper Evident Cap 16oz,Unknown,Closure,0.05
32oz Container,Unknown,Container,0.27
3oz PET Bottle,Unknown,Container,0.19
3oz CR Cap w/ Liner,Unknown,Closure,0.10
3oz Dispensing Cap,Unknown,Closure,0.07
30ml Tincture Bottle + Cap,Unknown,Container,0.63
Lip Balm Tube,Unknown,Container,0.21
Mylar Bag,Unknown,Container,0.30
2oz Boston Round + Lid,Unknown,Container,0.18
GLASS 2oz Boston Round,Unknown,Container,0.18
CR Black for GLASS 2oz,Unknown,Closure,0.14
30ml Tincture Box (5k pricing),Unknown,Box,0.23
30ml Tincture Box (1k Pricing),Unknown,Box,0.58
3oz Roll On w/Cap,Containers and Packaging,Container,0.56
150ml Airless Bottle,Containers and Packaging,Container,1.85
2oz CR Jar (Honey),Unknown,Container,0.85
2oz Honey Box,Unknown,Box,0.50
30ml PET Round Bottle,Unknown,Container,0.16
CR Lid for 30ml PET,Unknown,Closure,0.16
Disposable Vape,Unknown,Other,3.25
5/10 Cartridge,Unknown,Other,1.25
Clamshells,Unknown,Box,0.35
30ml Miron bottle and Dropper,Unknown,Container,1.88
200ml clear glass jar w/ Lug nut lid,Unknown,Container,0.98
White cap,Unknown,Closure,0.70
Cobalt blue/green/white bottle 150cc,Unknown,Container,0.50
Clear 150cc Bottle,Unknown,Container,0.44
White 150cc w/cap & liner,Unknown,Container,0.35
38/400 black cap w/liner,Unknown,Closure,0.11
38/400 red cap w/liner,Unknown,Closure,0.10
38/400 yellow w/liner,Unknown,Closure,0.10
38/400 White CR cap w/liner,Unknown,Closure,0.19
Gradient Tincture Bottle Only,Unknown,Container,0.35
Super Dropper,Unknown,Closure,0.26
8oz Amber Glass Bottle w/ Pump Top,Specialty Bottles,Container,1.05
Vape Box,Unknown,Box,0.85
Insert,Unknown,Other,0.15
Disposable Box,Unknown,Box,1.50
Vape Battery,Unknown,Other,4.00
200ml Miron Jar,Unknown,Container,1.86
200ml Miron Cap,Unknown,Closure,0.55
100ml Miron Jar,Unknown,Container,1.46
100ml Miron Lid,Unknown,Closure,0.55
1ML Glass Syringe,Unknown,Container,0.84
1ML Glass Syringe Filling Tip,Unknown,Other,0.10
Syringe w/ Tip Clamshell,Unknown,Box,0.20
1ml Terp Dram,Premium Vials,Container,0.17
1g Mylar Bag,Marijuana Packaging,Container,0.09
7ml pipette,Uline,Other,0.06
White plastic spatula,Uline,Other,0.06
55gal Drum,Unknown,Container,83.00
C2 Tanker Refillable Cart 10k,Vuber,Other,2.60
Display Box 12pk Box,Unknown,Box,0.10
60ML PET Boston Round,Unknown,Container,0.18
60ML PET lid,Unknown,Closure,0.11
4 oz Amber with Dropper,Unknown,Container,0.83
Dropper Bottles 30ml Dropper Bottle,Unknown,Container,0.69
8th Mylar Bag,Unknown,Container,0.49
Standard Tincture Box w/ Matte Finish,Unknown,Box,0.53
3oz Roll-on CR Cap,Berlin Packaging,Closure,1.07
100ml airless pump w/ frosted cap,Cosmetic Packaging Now,Closure,1.62
16oz Pump Bottle,Unknown,Container,1.50
4 oz White HDPE Plastic Bullet Bottle,Berlin Packaging,Container,0.81
Alive 2.5 Gallon,Alive Waters,Container,77.00
Kraft cacao Sheet,Amazon,Other,0.16
Gold Foil Wrapper,Google,Label,0.08
4oz Compostable Zipper Bag,Elevate Packaging,Container,0.42
4oz pouch,Unknown,Container,0.39
4oz Bottle with Cap,Unknown,Container,0.49
200CC Clear Jar,Containers and Packaging,Container,0.34
200CC CR Lid,Containers and Packaging,Closure,0.22
120ml clear PET Can w/ aluminum lid,Alibaba,Container,0.22
2oz amber boston round with pump top,Unknown,Container,0.70
2oz Miron,Unknown,Container,1.75
2oz Miron Lid,Unknown,Closure,0.65
375 ml (12 oz) Liquor Bottle w/ T-Top,Specialty Bottles,Container,2.49
375ml PET liquor bottle w/ Black cap,Berlin Packaging,Container,1.70
50ML PET Liquor bottle w/ White Cap,Berlin Packaging,Container,0.27
15ml dropper bottle,Container and Packaging,Container,0.12
15ml dropper top,Container and Packaging,Closure,0.17
15ml Tincture Box (1k Pricing),Labels Lab,Box,0.58
MXQ Box,Labels Lab,Box,0.70
MXQ 15ml Label 1200 units,Labels Lab,Label,0.30
MXQ 15ml Label 5200 units,Labels Lab,Label,0.10
MXQ 15ml Label 10k units,Labels Lab,Label,0.06
MXQ 15ml Box - 5200,Labels Lab,Box,0.37
Labels,Labels Lab,Label,0.25
60k shrink sleeve label,Unknown,Label,0.08
2 BOPP Label for 30ML Tincture,Unknown,Label,0.30
Shrink Sleeve Labels 1000,Unknown,Label,0.35
large bottle label,Unknown,Label,0.45
MXQ 15ml Label,Lightning Labels,Label,0.27
MXQ 15ml Dropper Bottle,Containers and Packaging,Container,0.12
MXQ 15ml Dropper Top,Containers and Packaging,Closure,0.14
Shrink Band,Unknown,Label,0.02
750ml Las Vegas Spirit Bottle,BottleStore,Container,3.00
Basic Black Closure 750ml,BottleStore,Closure,0.31
Flip Top Cap Din20,Berlin Packaging,Closure,0.08
8 oz clear pump bottle,Specialty Bottle,Container,0.91
8oz Black Squeeze Bottle,Berlin Packaging,Container,0.58
24-410 Black Disc Top for 8oz,Liquid Bottles,Closure,0.06
60ml red dropper bottle 24/410,Liquid Bottles,Container,0.23
60ml Pink dropper bottles 24/410,FHPKG,Container,0.50
4oz cobalt blue dropper bottle 24/410,Container and Packaging,Container,0.57
.5oz cobalt blue dropper bottle din18,Container and Packaging,Container,0.22
60ml Black Dropper 20/410,Dropper Bottles,Closure,0.25
60ml white dropper 20/410,Dropper Bottles,Closure,0.25
120ml black dropper 24/410,Dropper Bottles,Closure,0.25
15ml black dropper,Dropper Bottles,Closure,0.25
100mm Preroll tube,Cannaline,Container,0.17
60ml Amber Boston Round,Dropper Bottles,Container,0.34
60ml Miron Dropper Bottle,Miron,Container,1.41
Miron Pump Cap,Miron,Closure,0.86
Miron 30ml Dropper Bottle Only,Miron,Container,1.06
Excel label,Unknown,Label,0.57
Matrix 60ml Label,Unknown,Label,0.31
Lube Label,Unknown,Label,0.64
Pump Top 20/410,US Plastic,Closure,0.29
Pump Top 24/410,Container and Packaging,Closure,0.16
1oz White Boston Round,Containers and Packaging,Container,0.43
White and Gold Dropper,Containers and Packaging,Closure,0.33
5ml Miron w/ Dropper,Miron,Container,5.40
MXQ Box - 1100,Print 24/7,Box,0.38
Miron 30ml Dropper Bottle and Dropper,Miron,Container,1.32
60ml Matte Black Boston Round,BearRootz,Container,0.37
Massage Oil Label,Lightning Label,Label,0.53
8oz White Boston Round,Containers and Packaging,Container,0.42
Massage Pump Top,Containers and Packaging,Closure,0.19
2oz Glass Massage Bottle,Containers and Packaging,Container,0.60
Massage Pump Top 2oz,Containers and Packaging,Closure,0.49
Pain Lotion Label,Unknown,Label,0.35
4oz Clear PET,US Plastic,Container,0.41
6oz PET,US Plastic,Container,0.48
Cap for PET Bottles,US Plastic,Closure,0.07
250CC White (FAT) CSNA,CSNA,Container,0.19
Cap for 250CC White (Fat) CSNA Bottle,CSNA,Closure,0.09
Vuber .5g 510,Unknown,Other,1.85
1G NanoCart,BearRootz,Other,1.25
60ml spray bottle,Unknown,Container,0.77
15ml Dropper Bottle,Berlin Packaging,Container,0.50
Stainless Steel 55 Gallon Drum,Uline,Container,1054.00
Matrix Gummy Bag,PackM,Container,0.41
30ml Tincture Boxes,Print 24x7,Box,0.95
Foam Pump Bottle,Amazon,Container,1.10
Sachet Mylar Bag,Unknown,Container,0.50
150ml airless white bottle + pump,Containers and Packaging,Container,1.56
60ml 6 Pack Box,Unknown,Box,1.12
200ml Miron Glass Wide Mouth Jar w Lid,Miron,Container,3.01
2oz 60ml French Square Glass Bottle,Containers and Packaging,Container,0.49
2oz 60ml black pp lid w/liner,Containers and Packaging,Closure,0.05
Digital Print 12oz Sleek Can,Unknown,Container,0.30
3ml Sachet 50k Pricing,V-Shapes NA,Container,0.25
10ml Amber Glass Bottle,Unknown,Container,0.06
10ml Dropper Top,Unknown,Closure,0.06
Essential Oil Label,Unknown,Label,0.04
Essential Oil 6 Pack Box,Unknown,Box,1.64
2oz Lube Bottle w/cap,Unknown,Container,0.17
2oz Lube Shrink Label,Unknown,Label,0.05
84mm Natural 420 Stock Pre-Rolled Cones,Unknown,Other,0.08
Boveda 8 Gram Humidity Pack,Unknown,Other,0.70
1/8th jar 2 Oz Child Resistant,Unknown,Container,0.60
1/4oz jar 4 Oz Clear Glass Child Resistant,Unknown,Container,0.75
1 Oz Child Resistant Mylar Bags,Unknown,Container,0.46
Unbranded Black CR Push Packs,Unknown,Box,1.50
15ml Essential Oil Bottle,Unknown,Container,0.10
15ml Essential Oil Dropper Top,Unknown,Closure,0.06
15ml Label Application,Unknown,Label,0.10
50ml Airless With Cap,SKU A487,Container,1.06
2oz Amber Jar,Unknown,Container,0.30
2oz Cap,Unknown,Closure,0.19
Protein Powder Mylar Bag,ProPak,Container,0.67
14.8CC Scoop,Unknown,Other,0.19
20x20x8 corrugated box,Unknown,Box,0.16
Labels Lab Protein Pouches,Labels Lab,Container,0.44
12oz Hot Fill PET Bottle,Unknown,Container,0.65
38mm Cap for 12oz PET,Unknown,Closure,0.08
12oz Full Shrink Sleeve label,Unknown,Label,0.35
9oz hard plastic cocktail cup,Unknown,Container,0.14
Black cocktail straw,Unknown,Other,0.01
Black cocktail Napkin,Unknown,Other,0.04
16oz cup,Imperial Dade,Container,0.10
16oz Dome Lid,Imperial Dade,Closure,0.04
16oz Flat Lid,Cysco,Closure,0.06
Boba Straw,Imperial Dade,Other,0.02
6pk Shot Box,Unknown,Box,0.75
8oz massage oil label,Unknown,Label,0.65
2pk gummy bag,Unknown,Container,0.13
1oz Kraft Stand Up Pouch,Elevate Packaging,Container,0.36
2x2 Label,Unknown,Label,0.15
8oz Kraft Compostable Stand Up Pouch,Unknown,Container,0.75
12x8x6 Ship Pack,Unknown,Box,0.63
matrix 2oz bottle box,Unknown,Box,0.28
Matrix Sachet Pouch,Unknown,Container,0.10
Matrix Gummy Bag - Canada,Unknown,Container,0.45
Matrix Female 60ml Bottle,Unknown,Container,0.38
Matrix Female Treatment Pump,Unknown,Closure,0.20
Mylar Bag < 10k,Unknown,Container,0.13
30mL Amber Euro Round Glass Bottle + Dropper,Unknown,Container,0.47
30ml tincture label - BOPP,Unknown,Label,0.20
2pk Gummy Pouch,Unknown,Container,0.05
2oz Bottle Box,Unknown,Box,0.45
4oz Bottle Box,Unknown,Box,0.45
Gummy Box,Unknown,Box,0.50
Hangover Box 2 Up,Unknown,Box,0.12
2oz PET Shot Bottle 20/410,Unknown,Container,0.14
Hangover shot Shrink Sleeve,Unknown,Label,0.05
100k Shrink Sleeves,Labels Lab,Label,0.06
24ct Snap POP Box,Unknown,Box,0.39
12ct Gummy POP Box,Unknown,Box,0.25
10k 200cc PET Packer Bottle w/ Lid,Unknown,Container,0.37
Matrix Vibes 30ct Gummy Label,Unknown,Label,0.11
Matrix Vibes 30ct Gummy Box,Unknown,Box,0.28
NanoCove Pre-Roll Shrink Wrap,Unknown,Label,0.10
NanoCove Pre-Roll Mylar Bag,Unknown,Container,0.30
NanoCove Pre-Roll Cone Paper,Unknown,Other,0.11
NanoCove Pre-Roll Display Box,Unknown,Box,1.00
Nano-Cove Pre-Roll Tube,Unknown,Container,0.12
V-Shapes 25k sachets,V-Shapes,Container,0.25
Century Labels 500 w/ perforation,Century Labels,Label,0.25
Black PP 20-400 Lid,Unknown,Closure,0.06
White PP 20-400 Lid,Unknown,Closure,0.06
Dropper Bottle 100ml Miron,Miron,Container,1.68
Mist Sprayer 100ml,Unknown,Closure,0.79
k-cups - 2400case,Unknown,Container,0.12
k-cup lid - 1000case,Unknown,Closure,0.03
k-cup 12ct Boxes,Unknown,Box,0.66
Standup Natural Coffee Pouch,Unknown,Container,0.87
3.5 x 4.5 preprinted sachet,Unknown,Container,0.26
Salt Shaker - 2oz Glass,Unknown,Container,1.17
Can - 12oz Slim (Can art top),Unknown,Container,0.04
16 oz white PET 28/410 neck,Unknown,Container,0.48
White pp 28/410 Ribbed Lid,Unknown,Closure,0.08
4oz White PET Plastic 24/410 Neck,Unknown,Container,0.31
Black PP Plastic Hinge Top HIS Liner,Unknown,Closure,0.16
Dosing Cup,Unknown,Other,0.01
Mylar Pouch,Unknown,Container,0.23
1oz Opal White Boston Round,Unknown,Container,0.36
20-400 Matte Silver Dropper 76mm,Unknown,Closure,0.24
2oz Opal White Boston Round,Unknown,Container,0.41
20-400 Matte Silver Dropper 91mm,Unknown,Closure,0.26
2oz roll on bottle w/ ball and cap,Container and Packaging,Container,0.48
2oz Roll On BoPP Label,Unknown,Label,0.35
3x4 Gold Foil,Revere Group,Label,0.01
150ml Pain Gel Label w/ Spot UV,Labels Lab,Label,0.45
50ml Airless Pump Bottle,Containers,Container,1.64
50ml Pain Gel Label w/ Spot UV,Labels Lab,Label,0.35
3oz Pain Relief Rollon Label,Labels Lab,Label,0.45
10ml Clear Glass Roll on w/ Black Lid,Uline,Container,0.60
1oz HDPE roll on w/ lid,Berlin Packaging,Container,0.75
Pure 10 ML White PP Airless Bottle,Cosmetic Packaging Now,Container,0.85
MushroomHead Bags,Labels Lab,Container,1.18
6oz jar w/ Gold Lid,Container and Packaging,Container,0.54
Corrugated Box 11x7x13,Uline,Box,1.05
Corrugated Box 12x12x6,Uline,Box,1.05
150ml Lotion Label Pricing,A+,Label,0.17
150ml White Airless Pump,Gino,Closure,1.19
150ml Airless Pump w/ Silver Band,Gino,Closure,0.95
1gal F-Style Jug WHITE,Uline,Container,3.00
1gal Plastic Pump Top for F-Style Jug,Uline,Closure,3.25
8x8x12 box,Uline,Box,1.35